Minimum Temperature,Maximum Temperature,Humidity,Precipitation
3.3,37.1,66,11.3
15.3,34.3,43,12.2
-1.1,28.8,44,3.2
0.1,33.1,70,11.3
-2.1,19.8,38,13.3
17.6,39.7,46,3.9
2.8,46.3,73,14.3
-2.9,36.3,81,1.1
4.5,22.8,39,10.8
13.1,31.7,55,1.9
1.0,47.9,83,3.8
9.6,36.3,73,1.4
10.2,25.7,63,5.2
10.1,44.7,68,4.8
15.4,39.4,53,11.5
13.2,28.1,69,12.3
-2.3,48.2,49,8.3
13.7,46.9,70,13.7
2.9,34.0,43,1.9
17.1,20.1,39,6.8
13.8,30.1,76,15.4
1.7,19.5,63,3.2
0.1,46.0,39,4.0
16.6,28.9,75,15.3
4.3,45.2,54,7.2
13.0,22.8,63,0.3
10.3,23.7,59,3.8
12.1,41.7,83,12.5
15.0,42.5,81,3.9
11.0,32.7,84,2.3
4.5,25.5,89,4.1
15.2,23.8,80,15.0
7.4,30.4,43,4.2
16.7,37.9,50,12.8
17.2,37.2,57,0.8
-0.3,27.1,62,0.6
4.6,46.3,86,8.7
7.9,22.5,55,5.1
1.3,46.8,41,6.5
4.4,35.3,60,1.5
1.0,26.3,71,2.2
10.7,41.5,69,13.7
8.7,34.9,61,15.6
13.2,21.6,58,12.5
11.0,38.5,56,14.8
9.3,32.9,87,0.4
7.2,18.8,86,11.6
15.4,40.0,42,11.1
9.3,33.4,77,4.2
6.2,42.4,58,8.8
-0.3,25.3,71,0.1
0.1,38.8,83,8.1
11.1,45.1,86,1.8
15.4,33.3,48,10.4
12.7,38.6,52,13.9
9.6,29.0,81,5.2
6.4,22.2,88,4.9
8.7,21.1,39,5.0
13.1,21.1,56,0.3
3.9,41.9,87,6.1
11.5,24.1,49,5.9
16.8,37.7,72,2.5
-1.5,23.1,41,9.2
-1.6,32.3,69,12.7
13.4,37.8,79,15.2
-2.3,32.8,55,4.9
-2.8,30.4,63,0.7
13.4,48.7,44,10.9
14.8,37.2,87,1.6
0.3,23.0,50,1.0
16.8,43.3,46,4.6
1.9,30.9,58,2.8
7.4,35.1,54,5.1
-0.9,36.6,66,13.0
7.2,44.1,81,12.5
5.7,38.3,64,11.9
7.8,28.3,69,4.4
2.9,41.7,66,3.4
11.8,22.1,38,14.9
-1.1,28.2,57,9.1
14.6,19.4,77,11.4
4.6,34.0,73,13.8
2.7,38.8,85,7.0
0.4,19.9,76,13.9
12.4,20.5,49,15.1
10.7,43.0,43,5.0
6.7,35.0,51,1.6
3.4,21.2,66,10.0
-2.4,37.2,63,14.5
9.5,38.2,39,6.6
0.5,32.6,89,11.1
11.4,35.5,74,0.6
3.9,33.5,73,3.9
4.2,29.1,71,4.8
11.8,47.2,84,8.2
11.6,26.2,89,12.7
12.4,46.1,61,6.7
15.4,22.8,72,9.4
9.8,28.4,86,0.0
6.5,46.7,49,15.1
4.8,25.5,77,2.9
4.9,48.2,65,7.5
-2.4,26.2,80,1.0
7.4,32.3,75,12.5
14.5,20.5,48,3.7
-0.4,47.1,53,6.7
-2.1,33.8,56,12.5
14.0,33.2,53,8.4
2.6,35.9,68,14.5
6.6,27.4,70,11.9
7.5,24.8,81,9.5
17.6,19.6,78,15.0
2.0,46.2,73,9.0
14.3,32.4,86,12.9
6.3,23.9,46,2.3
15.0,39.1,56,0.3
8.4,35.4,60,8.3
-0.3,34.4,77,12.7
17.4,36.0,87,5.4
8.0,18.8,63,11.0
9.2,39.1,77,13.8
4.6,44.6,49,12.7
6.8,37.2,51,2.6
17.5,27.9,72,14.7
-0.7,39.8,57,1.6
7.9,19.6,70,10.4
8.6,27.8,71,4.7
14.2,38.0,54,3.2
16.8,42.3,52,1.2
2.5,35.5,82,7.4
15.3,25.8,75,9.5
12.2,30.5,50,12.9
4.7,19.4,39,4.4
0.7,40.9,56,6.3
9.1,31.2,86,9.8
3.9,47.0,73,10.3
15.6,38.6,53,11.5
-1.3,34.1,53,12.4
2.0,37.3,58,2.4
2.6,38.7,80,5.9
12.0,30.6,48,1.4
